chapter_id,question,type,option_a,option_b,option_c,option_d,correct_answer,time_seconds,explanation
1,"Combien font 3 + 5 ?",mcq,"6","7","8","9",C,30,"3 + 5 = 8. Compte sur tes doigts : 3 puis encore 5."
1,"12 est un nombre pair.",tf,"Vrai","Faux","","",A,15,"Un nombre pair se divise par 2 sans reste. 12 ÷ 2 = 6, donc pair."
1,"Combien font 15 - 7 ?",mcq,"6","7","8","9",C,30,"15 − 7 = 8. Pense : 7 + 8 = 15."
1,"Combien font 4 x 6 ?",mcq,"20","22","24","26",C,30,"4 × 6 = 24. Astuce : 4 × 5 = 20, plus 4 = 24."
1,"Combien font 36 / 6 ?",mcq,"5","6","7","8",B,30,"36 ÷ 6 = 6 car 6 × 6 = 36."
1,"15 est un multiple de 3.",tf,"Vrai","Faux","","",A,15,"15 ÷ 3 = 5 (pas de reste), donc 15 est un multiple de 3."
1,"Combien font 8 x 7 ?",mcq,"54","56","58","60",B,30,"8 × 7 = 56. Astuce : 8 × 5 = 40, 8 × 2 = 16, 40 + 16 = 56."
1,"Combien font 100 - 37 ?",mcq,"53","63","67","73",B,30,"100 − 37 = 63. Vérification : 63 + 37 = 100."
1,"0 est un nombre pair.",tf,"Vrai","Faux","","",A,15,"0 est pair car 0 ÷ 2 = 0 (pas de reste)."
1,"Combien font 9 x 9 ?",mcq,"79","81","83","89",B,30,"9 × 9 = 81. C'est le carré de 9."
2,"Un triangle a 3 côtés.",tf,"Vrai","Faux","","",A,15,"Par définition, un triangle (tri = trois) a 3 côtés."
2,"Le périmètre d'un carré de côté 5 cm est :",mcq,"10 cm","15 cm","20 cm","25 cm",C,30,"Périmètre = 4 × côté = 4 × 5 = 20 cm."
2,"L'aire d'un rectangle de 4 cm sur 3 cm est :",mcq,"7 cm²","10 cm²","12 cm²","14 cm²",C,30,"Aire = longueur × largeur = 4 × 3 = 12 cm²."
2,"Un cercle a un diamètre de 10 cm. Son rayon est :",mcq,"2 cm","5 cm","10 cm","20 cm",B,30,"Rayon = diamètre ÷ 2 = 10 ÷ 2 = 5 cm."
2,"La somme des angles d'un triangle est :",mcq,"90°","180°","270°","360°",B,30,"La somme des 3 angles d'un triangle est toujours 180°."
2,"Un losange a 4 côtés égaux.",tf,"Vrai","Faux","","",A,15,"Par définition, un losange a 4 côtés de même longueur."
